CÓDIGO;AUTOR;TÍTULO;EJEM.
320/0789;EMILIOZZI SERGIO/PECHENY MARIO/UNZUÉ MARTÍN;LA DINÁMICA DE LA DEMOCRACIA (REPRESENTACIÓN, INSTITUCIONES Y CIUDADANÍA ARGENTINA);1
320/0791;MATOS MAR JOSÉ;LA DOMINACIÓN DE AMÉRICA LATINA;2
320/0792;LINDABECK ASSAR;LA ECONOMÍA POLÍTICA DE LA  NUEVA IZQUIERDA;1
320/0793;CIMADAMORE ALBERTO D.;LA ECONOMÍA POLÍTICA DE LA  POBREZA;1
320/0794;RIFKIN JEREMY ;LA ERA DEL ACCESO (LA REVOLUCIÓN DE LA NUEVA ECONOMÍA);1
320/0795;FEUERBACH LUDWIG;LA ESENCIA DEL CRISTIANISMO;1
320/0796;COSCIA JORGE;LA ESPERANZA SITIADA (DEBATES POLÍTICO-CULTURALES EN TIEMPOS DEL BICENTENARIO);1
320/0797;KUHN TOMAS S.;LA ESTRUCTURA DE LAS REVOLUCIONES CIENTÍFICAS (NUEVA INTRODUCCIÓN DE CARLOS SOLÍS);5
320/0800;APPIAH KWAME ANTHONY;LA ÉTICA DE LA IDENTIDAD;1
320/0801;ZAVADIVKER NICOLÁS;LA ÉTICA EN LA ENCRUCIJADA;1
320/0802;WEBER MAX;LA ÉTICA PROTESTANTE Y EL ESPÍRITU DEL CAPITALISMO;2
320/0804;BECK ULRICH/GRANDE EDGAR;LA EUROPA COSMOPOLITA (SOCIEDAD Y POLÍTICA EN LA SEGUNDA MODERNIDAD);1
320/0805;GOLDSTEIN GABRIELA;LA EXPERIENCIA ESTÉTICA (ESCRITOS SOBRE PSICOANÁLISIS Y ARTE);1
320/0806;ALTINI CARLO;LA FÁBRICA DE LA SOBERANIA (MAQUIAVELO, HOBBES, SPINOZA Y OTROS MODERNOS) ;1
320/0807;NEGRI ANTONIO;LA FÁBRICA DE PORCELANA (UNA NUEVA GRAMATICA DE LA POLÍTICA);1
320/0808;MANSFIELD STEPHEN;LA FÉ DE BARACK OBAMA;1
320/0809;GILBERT ISIDORO;LA FEDE ALISTANDOSE PARA LA REVOLUCIÓN (LA FEDERECIÓN JUVENIL COMUNISTA 1921-2005);4
320/0811;NUÑEZ LADEVEZE LUIS;LA FICCIÓN DEL PACTO SOCIAL;1
320/0812;ALTHUSSER LOUIS;LA FILOSOFÍA COMO ARMA DE LA REVOLUCIÓN (LOS APARATOS IDEOLÓGICOS DEL ESTADO);1
320/0813;FILIPPI ALBERTO;LA FILOSOFÍA DE BOBBIO EN AMÉRICA LATINA Y ESPAÑA;2
320/0815;BALIBAR ÉTIENNE;LA FILOSOFÍA DE MARX;1
320/0817;QUESADA FERNANDO;LA FILOSOFÍA POLÍTICA EN PERSPECTIVA (PENSAMIENTO CRÍTICO-PENSAMIENTO UTÓPICO);1
320/0819;GASPARINI JUAN;LA FUGA DEL BRUJO (HISTORIA CRIMINAL DE JOSÉ LÓPEZ REGA);1
320/0820;ALVATER ELMAR / MAHNKOPF BIRGIT;LA GLOBALIZACIÓN DE LA INSEGURIDAD (TRABAJO EN NEGRO, DINERO SUCIO Y POLÍTICA INFORMAL);1
320/0821;GARCIA CANCLINI NESTOR;LA GLOBALIZACIÓN IMAGINADA;2
320/0823;CURBET JAUME;LA GLOCALIZACIÓN DE LA (IN)SEGURIDAD ;1
320/0826;UESSELER ROLF;LA GUERRA COMO NEGOOO (CÓMO LAS EMPRESAS MILITARES PRIVADAS DESTRUYEN LA DEMOCRACIA);1
320/0828;FONTANA JOSEP;LA HISTORIA DESPUÉS DEL FIN DE LA HISTORIA;2
320/0829;FERNÁNDEZ MEIJIDE GRACIELA ;LA HISTORIA INTIMA DE LOS DERECHOS HUMANOS EN LA ARGENTINA;2
320/0831;WALTERD. MIGNOLO;LA IDEA DE AMERICA LATINA (LA HERIDA COLONIAL Y LA OPCION DESCOLONIAL)  ;1
320/0832;KOJÉVE ALEXANDER;LA IDEA DE LA MUERTE DE HEGEL;1
320/0833;CAPPELLETTI ÁNGEL;LA IDEOLOGÍA ANARQUISTA;1
320/0834;SILVA JESUS/MÁRQUEZ HERZOG;LA IDIOTEZ DE LO PERFECTO (MIRADAS A LA POLÍTICA);2
320/0835;CEREUIDO MARCELINO/REINKING LAURA;LA IGNORANCIA DEBIDA;1
320/0836;DAHL ROBERTA A.;LA IGUALDAD POLITICA;2
320/0837;CHAVOLLA ARTURO;LA IMAGEN DE AMERICA EN EL MARXISMO;1
320/0838;COHN BENDIT DANIEL;LA IMAGINACIÓN AL PODER (PARIS MAYO 1968);1
320/0839;HABERMAS JURGEN;LA INCLUSIÓN DEL OTRO (ESTUDIOS DE TEORIA POLITICA);2
320/0840;FERNÁNDEZ BRAVO ÁLVARO;LA INVENCIÓN DE LA NACIÓN (LECTURAS DE LA IDENTIDAD DE HERDER A HOMI BHABHA);1
320/0841; LEFORT CLAUDE;LA INVENCIÓN DEMOCRÁTICA;1
320/0842;PETRAS JAMES;LA IZQUIERDA CONTRAATACA (CONFLICTO DE CLASES EN AMERICA LATINA EN LA ERA DEL NEOLIBERALISMO);1
320/0843;WEBER HENRI ;LA IZQUIERDA EXPLICADA A MIS HIJAS;1
320/0844;COTARELO RAMÓN;LA IZQUIERDA EN EL SIGLO XX;1
320/0845;FUNDACIÓN PABLO IGLESIAS;LA IZQUIERDA Y EUROPA (DEBATE DE SIGUENZA NOVIEMBRE 1986);1
320/0846;WINSTANLEY GERRARD;LA LEY DE LA LIBERTAD UN TEXTO FUNDAMENTAL DE LA FILOSOFÍA POLITICA MODERNA;1
320/0847;ROMILLY DE JACQUELINE;LA LEY IN LA GRECIA CLÁSICA;1
320/0848;DRIOLLET MARÍA TERESA;LA LIBERTAD INTERIOR (LA PROTECCION DE LE VOLONTAIRE ET , INOLONTAIRE EN LA GRADE PRO RICOEUR);1
320/0849;BOTANA NATALIO R.;LA LIBERTAD POLÍTICA Y SU HISTORIA;1
320/0850;BECKER WERNER;LA LIBERTAD QUE QUEREMOS (LA DECISIÓN PARA LA DEMOCRACIA LIBERAL);1
320/0851;JAUME LUCIEN;LA LIBERTAD Y LA LEY (LOS ORÍGENES DEL LIBERALISMO FILOSÓFICO);1
320/0852;HABERMAS JURGEN;LA LOGICA DE LAS CIENCIAS SOCIALES ;
320/0853;CARRILLO FLÓREZ FERNANDO;LA LUCHA CONTRA LA EXCLUSION SOCIAL EN AMERICA LATINA UNA MIRADA DESDE EUROPA);1
320/0854;BASCHETTI ROBERTO;LA MEMORIA DE LOS DE ABAJO  1945-2007 (HOMBRES Y MUERES DEL PEACHSARO REVOLUCIONARIO);1
320/0855;MAQUIAVELO NICOLÁS;LA MENTE DEL HOMBRE DE ESTADO;2
320/0856;CASTEL ROBERT;LA METAMORFOSIS DE LA CUESTIÓN SOCIAL (UNA CRÓNICA DEL SALARIADO);2
320/0857;AQUINO SANTO TOMAS;LA MONARQUÍA;1
320/0858;INGENIEROS JOSE/LUGONES LEOPOLDO;LA MONTAÑA (PERIÓDICO SOCIALISTA REVOLUCIONARIO 1987);1
320/0859;KROPOTKIN PIOTR;LA MORAL ANARQUISTA Y OTROS ESCRITOS;1
320/0860;CANSINO CÉSAR;LA MUERTE DE LA CIENCIA POLÍTICA (PREMIO ENSAYO 2008);3
320/0862;ABAL MEDINA JUAN;LA MUERTE Y LA RESURRECCIÓN DE LA REPRESENTACIÓN POLÍTICA;1
320/0863;PALTI ELÍAS;LA NACIÓN COMO PROBLEMA (LOS HISTORIADORES Y LA CUESTÓN NACIONAL;1
320/0864;MOSSE L. GEORGE;LA NACIONALIZACIÓN DE LAS MASAS (SIMBOLISMO POLÍTICO Y MOVIMIENTOS DE MASAS EN ALEMANIA..);1
320/0865;HABERMAS JURGEN;LA NECESIDAD DE REVISION DE LA IZQUIERDA;1
320/0866;VOEGELIN ERIE;LA NUEVA CIENCIA DE LA POLITICA (UNA INTRODUCCIÓN);3
320/0868;CLARK N. TERRY/NAVARRO J. CLEMENTE;LA NUEVA CULTURA POLITICA (TENDENCIAS GLOBALES Y CASOS IBEROAMERICANOS);2
320/0869;MORRESI SERGIO;LA NUEVA DERECHA ARGENTINA (LA DEMOCRACIA SIN POLÍTICA);1
320/0870;FINKIELKRAUT ALAIN;LA NUEVA DERECHA NORTEAMERICANA (LA REVANCHA Y LA UTOPÍA);2
320/0871;ACKERMAN BRUCE ;LA NUEVA DIVISIÓN DE PODERES;2
320/0872;FITOUSSI JEAN-PAUL/ROSANVALLO PIERRE;LA NUEVA ERA DE LAS DESIGUALDADES;1
320/0873;VIÑAS ISMAEL;LA NUEVA ETAPA DEL IMPERIALISMO;1
320/0874;ACHA OMAR;LA NUEVA GENERACIÓN INTELECTUAL (INCITACIONES Y ENSAYOS);1
320/0876;TAGUIEFF PIERRE-ANDRÉ;LA NUEVA JUDEOFOBIA (ISRAEL Y LOS JUDIOS: DESINFORMACIÓN Y ANTISEMITISMO;1
320/0877;CALVO ERNESTO/ESCOLAR MARCELO;LA NUEVA POLÍTICA DE PARTIDOS EN LA ARGENTINA (CRISIS POLÍTICA, REALINEAMIENTOS PARTIDARIOS Y...);1
320/0878;BORDELOIS IVONNE;LA PALABRA AMENAZADA;1
320/0879;JUNGGER ERNST;LA PAZ (SEGUIDO DE EL NUDO GORDIANO, EL ESTADO MUNDIAL Y ALOCUCIÓN EN VERDÚN);1
320/0880;MARTUCCELLI DANILO/SVAMPA MARISTELLA;LA PLAZA VACÍA (LAS TRANSFORMACIONES DEL PERONISMO);1
320/0881;SAID W. EDWARD;LA PLUMA Y LA ESPADA (CONVERSACIONES CON DAVID BARSAMIAN);2
320/0883;POGGE THOMAS;LA POBREZA EN EL MUNDO Y LOS DERECHO HUMANOS;1
320/0884;DAHL ROBERTO A.;LA POLIARQUÍA (PARTICIPACIÓN Y OPOSICIÓN);2
320/0886;ACKERMAN BRUCE ;LA POLÍTICA DEL DIÁLOGO LIBERAL;1
320/0887;WEBER;LA POLÍTICA COMO PROFESIÓN;3
320/0888;ANDER-EGG EZEQUIEL;LA POLÍTICA CULTURAL A NIVEL MUNICIPAL;1
320/0889;CHERESKY ISIDORO;LA POLÍTICA DESPUES DE LOS PARTIDOS;1
320/0890;TERRAY EMMANUEL;LA POLÍTICA EN LA CAVERNA;1
320/0891;SÁBATO HILDA;LA POLITICA EN LAS CALLES (ENTRE EL VOTO Y LA MOVILIZACIÓN BUENOS AIRES, 1862-1880);1
320/0892;LEVY BETTINA / GIANATELLI NATALIA;LA POLITICA EN MOVIMIENTO (IDENTIDADES Y EXPERIENCIAS DE ORGANIZACIÓN EN AMÉRICA LATINA);1
320/0893;TRÍAS EUGENIO;LA POLÍTICA Y SU SOMBRA;1
320/0894;GARCIA LINERA ÁLVARO;LA POTENCIA PLEBEYA (ACCIÓN COLECTIVA E IDENTIDADES INDIGENAS, OBRERAS Y POPULARES EN BOLIVIA);2
320/0895;PAZ GUADALAPE/ROETT RIORDAN;LA PRESENCIA DE CHINA EN EL HEMISFERIO OCCIDENTAL (CONSECUENCIAS PARA AMÉRICA LATINA Y EEUU) ;1
320/0896;JEAN DANIEL;LA PRISIÓN JUDIA (MEDITACIONES INTEMPESTIVAS DE UN TESTIGO);1
320/0897;PORTANTIERO JUAN CARLOS;LA PRODUCCIÓN DE UN ORDEN (ENSAYOS SOBRE A DEMOCRACIA ENTRE EL ESTADO Y LA SOCIEDAD);1
320/0898;ARENDT HANNAH;LA PROMESA DE LA POLÍTICA;2
320/0899;BUSH BARUCH R.A. / FOLGER J.P.;LA PROMESA DE LA MEDIACIÓN (COMO AFRONTAR EL CONFLICTO A TRAVÉS DEL FORTALECIMIENTO PROP);3
320/0900;DOMENACH JEAN- MARIE;LA PROPAGANDA POLÍTICA;2
320/0901;GIARRACCA NORMA;LA PROTESTA SOCIAL EN LA ARGENTINA (TRANSFORMACIONES ECONÓMICAS Y CRISIS SOCIAL EN EL.....);1
320/0902;ALMEYRA GUILLERMO; LA PROTESTA SOCIAL EN LA ARGENTINA (1990-2004);1
320/0903;STRASSER CARLOS;LA RAZÓN CIENTÍFICA EN POLÍTICA Y SOCIOLOGÍA;2
320/0904;PÉREZ SALAZAR MAURICIO;LA RAZÓN LIBERAL (ECONOMÍA, POLÍTICA Y ÉTICA EN LA OBRA DE JOHN STUART MILL);1
320/0905;LACLAU ERNESTO;LA RAZÓN POPULISTA;1
320/0906;BARSKY OSVALDO/DÁVILA MABEL;LA REBELIÓN DEL CAMPO (HISTORIA DEL CONFLICTO AGRARIO ARGENTINO);2
320/0908;TEIJEIRO V. JOSÉ;LA REBELIÓN PERMANENTE (CRISIS DE IDENTIDAD Y PERSISTENCIA ÉTNICO-CULTURAL AYMARA EN BOLIVIA);2
320/0909;HOFFMANN SABINE/ROZO BERNARDO/TAPIA LUIS...;LA (RE)CONSTRUCCIÓN DE LO PÚBLICO (MOVIMIENTO SOCIAL, CIUDADANÍA Y GESTIÓN DE AGUA EN CBBA.);1
320/0910;ESTEVEZ M. ALEJANDRO;LA REFORMA MANAGERIALISTA DEL ESTADO (NUEVA GERENCIA PÚBLICA, CALIDAD TOTAL Y TECNOCRACIA);1
320/0911;VAN DER VEEN ROBERT/GROOT LOEK/LO VUOLO LO;LA RENTA BÁSICA EN LA AGENDA: OBJETIVOS Y POSIBILIDADES DEL INGRESO CIUDADANO;1
320/0912;BLACKBURN SIMÓN;LA HISTORIA DE LA REPÚBLICA DE PLATÓN;1
320/0913;GRACIA JORDI;LA RESISTENCIA SILENCIOSA (FASCISMO Y CULTURA EN ESPAÑA-XXXII PREMIO ANAGRAMA DE ENSAYO);1
320/0914;POPPER R. KARL;LA RESPONSABILIDAD DE VIVIR (ESCRITOS SOBRE POLÍTICA HISTORIA Y CONOCIMIENTO);1
320/0915;CRAIG ROBERTS PAUL/ LA FOLLETTE A. KAREN;LA REVOLUCIÓN CAPITALISTA EN LATINOAMÉRICA (LA TRANSFORMACIÓN ECONÓMICA QUE ESTÁ.......);1
320/0917;WALZER MICHAEL;LA REVOLUCIÓN DE LOS SANTOS (ESTUDIO SOBRE LOS ORÍGENES DE LA POLÍTICA RADICAL;1
320/0918;BARSTZ AXEL/MORENO EUGENIO;LA REVOLUCIÓN DE OCTUBRE (CRÍTICA PARA UN DEBATE);1
320/0919;DABDOUB ARRIEN CARLOS;LA REVOLUCIÓN DEL PATUJÚ;1
320/0920;SOTOLONGO C PEDRO LUIS/DELGADO D. CARLOS).;LA REVOLUCIÓN CONTEMPORÁNEA DEL SABER Y LA COMPLEJIDAD SOCIAL;1
320/0921;PORTER ROY Y TEICH MIKULAS ;LA REVOLUCIÓN EN LA HISTORIA (CRITICA A LOS HOMBRES);2
320/0922;GUENIFFEY PATRICE;LA REVOLUCIÓN FRANCESSA Y LAS ELECCIONES (DEMOCRACIA Y REPRESENTACIÓN A FINES DEL SIGLO XVIII;1
320/0923;LESSA ALFONSO;LA REVOLUCIÓN IMPOSIBLE (LOS TUPAMAROS Y EL FRACASO DE LA VIA ARMADA EN EL URUGUAY Y SIGLO XX);4
320/0925;TROTSKY LEÓN;LA REVOLUCIÓN PERMANENTE;1
320/0926;MIRES FERNANDO;LA REVOLUCIÓN QUE NADIE SONO O LA OTRA POSMODERNIDAD (LA REV. MICROELECTRONICA, FEMINISTA...);1
320/0927;SMITH ADAM;LA RIQUEZA DE LAS NACIONES;1
320/0928;MARX KARL/ENGELS FRIEDRICH;LA SAGRADA FAMILIA (CRÍTICA DE LA CRÍTICA CRÍTICA);1
320/0929;BARTOLOMÉ MARIANO;LA SEGURIDAD INTERNACIONAL POST 11-5;1
320/0930;POPPER R. KARL;POPPER (LA SOCIEDAD ABIERTA Y SUS ENEMIGOS);1
320/0931;FRITZ GUILLERMO/SOUTHWELL EDUARDO/VARELA F.;LA SOCIEDAD CRIMINAL (UNA CRIMINOLOGÍA DE LOS CRIMINALES Y DE LOS NO TANTO);1
320/0932;BECK ULRICH;LA SOCIEDAD DEL RIESGO (HACIA UNA NUEVA MODERNIDAD);1
320/0933;BECK ULRICH;LA SOCIEDAD DEL RIESGO MUNDIAL (EN BUSCA DE LA SEGURIDAD PERDIDA);1
320/0935;OFFE CLAUS;LA SOCIEDAD DEL TRABAJO (PROBLEMAS ESTRUCTURALES Y PERSPECTIVAS DE FUTURO);1
320/0936;KENNETH GALBRAITH JUAN;LA SOCIEDAD OPULENTA;1
320/0937;ALLEGRE CLAUDE;LA SOCIEDAD VULNERABLE (DOCE RETOS DE POLÍTICA CIENTÍFICA);2
320/0938;ORTIZ RENATO;LA SUPREMACÍA DEL INGLÉS (EN LAS CIENCIAS SOCIALES);1
320/0940;GARGARELLA ROBERTO;LAS TEORÍAS DE LA JUSTICIA DESPUÉS DE RAWLS (UN BREVE MANUAL DE FILOSOFIA POLÍTICA);2
320/0941;BORON A. ATILIO/AMADEO JAVIER / GONZÁLES S.;LA TEORÍA MARXISTA HOY PROBLEMAS Y PERSPECTIVAS;1
320/0944;FRIEDMAN TOMÁS;LA TIERRA ES PLANA (BREVE HISTORIA DEL MUNDO GLOBALIZADO DEL SIGLO XXI);1
320/0945;BURNS MARAÑON JIMMY ;LA TIERRA QUE PERDIÓ SUS HEROES (LA GUERRA DE MALVINAS Y LA TRANSICIÓN DEMOCRÁTICA EN LA ARG.);1
320/0946;SCHMITT CARL;LA TIRANÍA DE LOS VALORES;1
320/0947;FETSCHER IRING;LA TOLERANCIA (UNA PEQUEÑA VIRTUD IMPRESCINDIBLE PARA LA DEMOCRACIA);1
320/0948;BOTANA NATALIO R.;LA TRADICIÓN REPUBLICANA (ALBERDI, SARMIENTO Y LAS IDEAS POLÍTICAS DE SU TIEMPO);1
320/0949;VÁZQUEZ ENRIQUE;LA ÚLTIMA (ORIGEN, APOGEO Y CAIDA DE LA DICTADURA MILITAR) ;1
320/0950;RIBEIRO RENATO JANINE;LA ULTIMA RAZÓN DE LOS REYES;1
320/0951;TERRAZAS VELASCO JOSÉ;LA UNIÓN JUVENIL CRUCEÑISTA (EN LAS LUCHAS CIVICAS POR NUESTRAS REGALIAS DE HIDROCARBUROS);2
320/0952;LIGURI STOWASSER BOOKCHIN;LA UTOPIA ES POSIBLE (EXPERIENCIAS CONTEMPORÁNEAS) ;1
320/0953;GENTILE EMILIO ;LA VÍA ITALIANA AL TOTALITARISMO (PARTIDO Y ESTADO EN EL REGIMEN FASCISTA);1
320/0954;STRASSER CARLOS;LA VIDA EN LA SOCIEDAD CONTEMPORÁNEA (UNA MIRADA POLÍTICA);2
320/0955;ARONSON PERLA/WEIZ EDUARDO;"LA VIGENCIA DEL PENSAMIENTO DE MAX WEBER A CIEN AÑOS DE ""LA ÉTICA PROTESTANTE Y EL ESPIRITU";1
320/0956;SOMMIER ISABELLE;LA VIOLENCIA REVOLUCIONARIA ;1
320/0957;COLOMBO EDUARDO;LA VOLUNTAD DEL PUEBLO;1
320/0958;AUYERO JAVIER;LA ZONA GRIS (VIOLENCIA COLECTIVA Y POLÍTICA PARTIDARIA EN LA ARGENTINA CONTEMPORÁNEA);1
320/0960;BUNGE MARIO;LAS CIENCIAS SOCIALES EN DISCUSIÓN (UNA PERSPECTIVA FILOSÓFICA);2
320/0962;REQUELLO COLL FERRAN;LAS DEMOCRACIAS (DEMOCRACIA ANTIGUA, DEMOCRACIA LIBERAL Y ESTADO DE BIENESTAR);2
320/0963;MCGEE DEUTSCH SANDRA;LAS DERECHAS (LA EXTREMA DERECHA EN LA ARGENTINA, EL BRASILY CHILE 1890-1939);2
320/0965;ROZITCHNER LEÓN;LAS DESVENTURAS DEL SUJETO POLÍTICO (ENSAYOS Y ERRORES) ;1
320/0966;KATZ CLAUDIO;LAS DISYUNTIVAS DE LA IZQUIERDA EN AMERICA LATINA;1
320/0967;WACQUANT LOIC;LAS DOS CARAS DE UN GUETO (ENSAYOS SOBRE MARGINALIZACIÓN Y PENALIZACIÓN);1
320/0969;TULLIO ALEJANDRO;LAS ELECCIONES NACIONALES EN LA ARGENTINA (ESTUDIO JURÍDICO DE LA CUESTIÓN ELECTORAL);1
320/0970;BONAUDO MARTA / REGUERA A. / ZEBERIO B.;TOMO I: LAS ESCALAS DE LA HISTORIA COMPARADA/TOMO 2/;1
320/0970;BANDIERI SUSANA/BLANCO GRACIELA/BLANCO M.;TOMO II: EMPRESAS Y EMPRESARIOS, LA CUESTIÓN REGIONAL;2
320/0971;CRETTIEZ XAVIER;LAS FORMAS DE LA VIOLENCIA;1
320/0972;NUSSBAUM MARTHA C.;LAS FRONTERAS DE LA JUSTICIA (CONSIDERACIONES SOBRE LA EXCLUSIÓN);1
320/0973;TOER MARIO/SAMECK MARTÍNEZ PABLO;LAS FUERZAS ALTERNATIVAS DE AMÉRICA LATINA ;1
320/0974;PRIETO ALBERTO;LAS GUERRILLAS CONTEMPORÁNEAS EN AMÉRICA LATINA;1
320/0975;HERNÁNDEZ BECERRA AUGUSTO;LAS IDEAS POLÍTICAS EN LA HISTORIA;1
320/0976;ROY OLIVIER;LAS ILUSIONES DEL 11 DE SEPTIEMBRE (EL DEBATE ESTRATÉGICO FRENTE AL TERRORISMO);1
320/0977;HERNÁNDEZ JOSÉ;LAS ISLAS MALVINAS;1
320/0978;MARX KARL;LAS LUCHAS DE CLASES EN FRANCIA DE 1848-1850 (ESTUDIO INTRODUCTORIO EDUARDO GRUNER);1
320/0979;PINTO JULIO;LAS NUEVAS DEMOCRACIAS DEL CONO SUR: CAMBIOS Y CONTINUIDADES;1
320/0980;GUTIÉRREZ AGUILAR RAQUEL; LAS NUEVAS FRONTERAS (UNA ENTREVISTA CON EL SUBCOMANDANTE MARCOS);1
320/0981;SHIVA VANDANA;LAS NUEVAS GUERRAS DE LA GLOBALIZACIÓN (SEMILLAS, AGUA Y FORMAS DE VIDA);1
320/0982;GOODRICK-CLARKE NICHOLAS;LAS OSCURAS RAICES DEL NAZISMO;2
320/0985;CARDARELLI GRACIELA/ROSENFELD MÓNICA;LAS PARTICIPANTES DE LA POBREZA (PROGRAMAS Y PROYECTOS SOCIALES);2
320/0986;MÁRMORA LELIO;LAS POLÍTICAS DE MIGRACIONES INTERNACIONALES;1
320/0987;PETRAS JAMES/VELTMEYER HENRY;LAS PRIVATIZACIONES Y LA DESNACIONALIZACIÓN DE AMERICA LATINA ;1
320/0988;MAQUINANDIARENA DE DEVOTO LEONOR;LAS RELACIONES CON CHILE DURANTE EL PERONISMO 1946-1955;1
320/0990;SUÁREZ SALAZAR LUIS/GARCÍA LORENZO TANIA;LAS RELACIONES INTERAMERICANAS (CONTINUIDADES Y CAMBIOS);1
320/0991;VALLE DE ODÓN;LAS RELIGIONES EN EL MUNDO;1
320/0992;CHERESKY ISIDORO;LAS URNAS Y LA DESCONFIANZA CIUDADANA EN LA DEMOCRACIA ARGENTINA;1
320/0993;GALEANO EDUARDO;LAS VENAS ABIERTAS DE AMERICA LATINA;1
320/0994;ROMERO LUIS JOSÉ;LATINOAMERICA LAS CIUDADES Y LAS IDEAS;1
320/0996;CASTRO FIDEL;LATINOAMERICANISMO VS IMPERIALISMO;1
320/0997;GARCIA CANCLINI NESTOR;LATINOAMERICANOS BUSCANDO LUGAR EN ESTE SIGLO;2
320/0998;FRANSCH CARLOS ALBERTO/ANTONINI E./TELLO A.;LATINOAMERICA GLOBAL;1
320/0999;DURKHEIM EMILE;LECCIONES DE SOCIOLOGIA (FISICA DE LAS COSTUMBRES Y DEL DERECHO);1
320/1000;RAWLS JONH;LECCIONES SOBRE LA HISTORIA DE LA FILOSOFÍA MORAL ;2
320/1001;RAWLS JONH;LECCIONES SOBRE LA HISTORIA DE LA FILOSOFÍA POLITICA;1
320/1002;FERNÁNDEZ GABRIEL/LEVA GERMÁN ;LECTURAS DE ECONOMIA, GESTIÓN Y CIUDAD;3
320/1005;SAUCA JOSÉ MARÍA / WENCES MARÍA ISABEL;LECTURAS DE LA SOCIEDAD CIVIL UN MAPA CONTEMPORÁNEO DE SUS TEORÍAS;1
320/1006;FYNN BERNARD;LEFORT Y LO POLÍTICO;2
320/1008;GOLDMAN NOEMÍ;LENGUAJE Y REVOLUCIÓN (CONCEPTOS POLÍTICOS CLAVE EN EL RÍO DE LA PLATA, 1780-1850);1
320/1010;LUKÁCS GEORG;LENÍN;2
320/1011;MEIER HEINRICH;LEO STRAUSS Y EL PROBLEMA TEOLÓGICO-POLITICO;2
320/1013;HOBBES THOMAS;LEVIATAN O LA MATERIA, FORMA Y PODER DE UNA REPÚBLICA ECLESIASTICA Y CIVIL;1
320/1014;BACA OLAMENDI LAURA Y OTROS; LEXICO DE LA POLÍTICA;1
320/1015;WILLMAN R. DURÁN RIBERA;CUADRENILLO UNIVERSITARIO N°2  - LEY 1008  ESTUDIO CRÍTICO;1
320/1016;STRAUSS LEO;LIBERALISMO ANTIGUO Y MODERNO;1
320/1017;SANTOS PÉREZ LOURDES;LIBERALISMO E IGUALDAD (UNA APROXIACIÓN A LA FILOSOFÍA POLÍTICA DE RONALD DWORKIN;1
320/1018;BARBÉRIS MARUO;LIBERTAD (LEXICO DE POLITICA);2
320/1019;ROBESPIERRE DE MAXIMILIEN;LIBERTAD, IGUALDAD, FRATERNIDAD;2
320/1020;NUSSBAUM MARTHA C.;LIBERTAD DE CONCIENCIA (CONTRA LOS FANATISMOS);2
320/1022;BENEGAS LYNCH ALBERTO/JACKISCH;LIMITES AL PODER (LOS PAPELES ANTIFEDERALISTAS);1
320/1023;FLASKAMP CARLOS; LÍMITES Y DESBORDES (LO NACIONAL Y LO SOCIAL EN LA POLÍTICA ARGENTINA;1
320/1025;CHOMSKY NOAM;LO QUE DECIMOS SE HACE (SOBRE EL PODER DE EEUU EN UN MUNDO EN CAMBIO);1
320/1026;ANDRADE LARRY;LO SOCIAL INQUIETO (E INQUIETANTE) OBJETO;1
320/1027;DE BONO EDWARD;LÓGICA FLUIDA (UNA ALTERNATIVA A LA LÓGICA TRADICIONAL);2
320/1028;FRAGA ROSENDO;LOS 90: LA ILUSIÓN PERDIDA;1
320/1029;PEIRATS JOSÉ;LOS ANARQUISTAS (EN LA CRISIS POLÍTICA ESPAÑOLA 1869-1939);1
320/1030;GARCIA SEBASTIAN MARCELA;LOS ANTIPERONISTAS EN LA ARGENTINA PERONISTA (RADICALES Y SOCIALISTAS EN LA POLÍTICA ARGENTINA;1
320/1031;CARACUEL RAYA MARÍA ANGUSTIAS;LOS CAMBIOS DE LA OTAN TRAS EL FIN DE LA GUERRA FRÍA;1
320/1032;NOVARRO MARCOS/PALERMO VICENTE;LOS CAMINOS DE LA CENTROIZQUIERDA (DILEMAS Y DESAFIOS DEL FREPASO Y DE LA ALIANZA);1
320/1033;SALOMON JACQUES JEAN ;LOS CIENTIFICOS (ENTRE PODER Y SABER);1
320/1034;ANSART PIERRE;LOS CLÍNICOS DE LAS PASIONES POLÍTICAS;1
320/1036;FANÓN FRANTZ;LOS CONDENADOS DE LA TIERRA;1
320/1037;VIAN BORIS;LOS CONSTRUCTORES DE IMPERIOS O EL SCHMURZ;1
320/1038;VILLAVICENCIO SUSANA;LOS CONTORNOS DE LA CIUDADANIA (NACIONALES Y EXTRANGEROS EN LA ARGENTINA DEL CENTENARIO);1
320/1039;BENHABIB SEYLA;LOS DERECHOS DE LOS OTROS (EXTRANGEROS, RESIDENTES Y CIUDADANOS);1
320/1041;CECEÑA ANA ESTHER;LOS DESAFIOS DE LAS EMANCIPACIONES EN UN CONTEXTO MILITARIZADO ;2
320/1042;OBSERVATORIO SOCIAL DE AMÉRICA LATINA;LOS DESAFÍOS DE AMÉRICA LATINA Y LAS ELECCIONES EN EE.UU. (LOS FOROS SOCIALES BALANCES Y DOC.);1
320/1043;ORGAMBIDE PEDRO;LOS DESOCUPADOS-UNA TIPOLOGIA DE LA POBREZA EN LA LITERATURA ARGENTINA;1
